Series Name,Series Code,Country Name,Country Code,Scale (Precision),2017Q2 [YR2017Q2],2017Q3 [YR2017Q3],2017Q4 [YR2017Q4],2018Q1 [YR2018Q1],2018Q2 [YR2018Q2],2018Q3 [YR2018Q3],2018Q4 [YR2018Q4],2019Q1 [YR2019Q1],2019Q2 [YR2019Q2]
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Kazakhstan,KAZ,Millions (0),167533,168595,167218,166679,164458,161283,158776,157611,158309
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,"Korea, Rep.",KOR,Millions (0),405529,408400,412028,427003,433275,441692,440599,440595,462062
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Kyrgyz Republic,KGZ,Millions (0),7906,8067,8119,7968,8061,8097,8139,8290,8441
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Latvia,LVA,Millions (0),42853,44481,45480,44028,41569,42090,40873,40772,40003
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Lithuania,LTU,Millions (0),38435,40357,42513,43755,41419,41771,40685,38283,38816
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Luxembourg,LUX,Millions (0),4227907,4418940,4332939,4533585,4428242,4451125,4168429,4250040,4252684
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Malaysia,MYS,Millions (0),204607,208315,217927,229133,229613,225431,223484,221436,224791
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Malta,MLT,Millions (0),102097,108205,110928,112546,107656,107117,104978,103046,104861
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Mauritius,MUS,Millions (0),213851,221306,229791,232312,231985,232271,231866,234632,237099
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Mexico,MEX,Millions (0),438100,446369,437345,452391,444514,451691,447411,456478,457956
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Moldova,MDA,Millions (0),6590,6776,6964,7221,7127,7326,7465,7387,7352
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Morocco,MAR,Millions (0),49401,50785,52362,53429,50963,51200,51563,50865,53549
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Netherlands,NLD,Millions (0),4467768,4527340,4497429,4757817,4550497,4545312,4290474,4294135,4238429
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,New Zealand,NZL,Millions (0),195023,195710,193708,198010,190367,187070,190395,191947,190581
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,North Macedonia,MKD,Millions (0),8794,9005,8842,10133,9777,9678,8984,9269,9473
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Norway,NOR,Millions (0),641855,668418,654098,671815,642399,641516,628195,639074,648639
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Peru,PER,Millions (0),71462,69253,67519,67985,65781,65321,66697,66335,65904
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Philippines,PHL,Millions (0),72493,72368,73098,73196,72199,76415,78960,80431,81259
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Poland,POL,Millions (0),367960,372685,383047,396354,364185,368619,359860,347762,352333
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Portugal,PRT,Millions (0),463792,479332,488693,505402,479936,471506,472617,465589,474952
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Romania,ROU,Millions (0),107825,111604,116765,119761,112779,114369,114318,111745,119903
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Russian Federation,RUS,Millions (0),527027,529514,518103,520139,490801,470525,454680,468663,479847
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Saudi Arabia,SAU,Millions (0),107097,110979,125180,118143,138631,142208,151040,161392,162744
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Seychelles,SYC,Millions (0),4492,4565,4495,4549,4575,4529,4619,4638,4687
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Singapore,SGP,Millions (0),1378158,1419330,1469511,1517767,1512889,1471511,1499115,1509870,1537397
"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Slovak Republic,SVK,Millions (0),89917,96376,112913,114553,111761,113087,116691,112797,117731
